ids,times,stars,previews,likes
垃圾短尾土猫,2020-10-25 03:59:07,30,大鹏此人给我带来的恶心和生理不适感已经远超小四了,10,
猫小喵,2020-11-04 20:53:37,10,从根儿上烂掉的节目，或者说这是部记录片，记录导演是如何说假话看人下菜的，记录主持人是多猥琐现场站队拉偏架的，记录有演技的演员是如何被资本淘汰的，记录垃圾是如何在台上产生的，记录喂给观众的屎是如何热气腾腾出炉的。,13,
asi,2020-10-25 04:22:41,10,滚你妈陈凯歌,8,
阿廖沙,2020-11-15 02:33:08,10,人至贱则无敌！没有一个说人话的，没有一个会演戏的！随便找几个抗日剧导演来拍都比他们四个好看！尔冬升陈凯歌太垃圾啦！走过场和稀泥一流，郭敬明依然是个45度望天矫情饥渴的骚鸡，赵薇年纪一大把了还是喜欢小鲜肉…丢人！呕吐！任敏？第一？照照镜子吧都！天啊！不敢相信2020年都结束了，那么多成年人在那尬演！都醒醒吧！发钱啦！娱乐圈的钱太好赚了啦！！mehhhh…tui！,8,
jackey,2020-10-25 01:43:24,10,其实前面还好，但是看到了陈宥维在三生三世十里桃花还有甄嬛传里的表现，再看到网上爆料竟然进入了16强？？？还有对唐一菲恶意剪辑，有意安排演老公成名作里的小三后果断给1星，我以为尔东升会成为敢说敢做的黑马看点，想不到只有李诚儒一个人敢说真话，《误杀》里说了真话还被怼了，难怪国内电影烂片越来越多，弃了，生理不适。,13,
非青,2020-10-13 09:58:46,20,郭导演又开始选妃了。11月更：郭敬明不要学舌扩句了好不好！！别人一说你又知道了！！？,13,
不良生,2020-10-28 22:51:48,30,鹅厂的节目宗旨就是捧新人，所以它纵使找来中年女演员们也不过是增加一些“市场”“女性”的热度而已。小鲜肉们都肉眼可见演技糟糕，中生代里曹骏和辣目洋子我觉得可，最喜欢的倒是三位“老人”：胡杏儿、倪虹洁、温峥嵘。——以前感觉平平，此番才觉得她们仨真棒。,5,
詩意症🍁,2020-10-20 10:18:36,20,这演员评级评的都是神马玩意靠郭敬明上热搜也是够够的了他能和陈凯歌坐一块？真是有够好笑的！,6,
hypothesis,2020-10-05 20:19:12,30,请张大大立刻退赛好吗，👴吐了，尔冬升牛逼！,14,
Google,2020-10-25 17:37:10,10,如果说有多喜欢前两期导演们的一针见血，那么就有多恶心后面导演们的商业互吹。,14,
